t,Date,MOH,ANTM,HUM,UNH
232,12/15/16,53.509997999999996,143.669998,204.649994,160.619995
233,12/16/16,54.380001,145.46000700000002,205.639999,163.940002
234,12/19/16,54.669998,144.880005,200.41000400000001,161.53999299999998
235,12/20/16,54.73,147.66000400000001,200.25,161.58999599999999
236,12/21/16,54.639998999999996,144.979996,199.800003,161.330002
237,12/22/16,54.099998,144.580002,202.929993,161.580002
238,12/23/16,54.959998999999996,146.020004,205.529999,163.029999
239,12/27/16,55.110001000000004,145.679993,206.059998,162.639999
240,12/28/16,55.400002,144.259995,204.600006,161.440002
241,12/29/16,54.490002000000004,144.759995,202.919998,161.03999299999998
242,12/30/16,54.259997999999996,143.770004,204.029999,160.03999299999998
243,1/3/17,53.59,143.240005,197.610001,161.449997
244,1/4/17,55.52,143.050003,197.779999,161.91000400000001
245,1/5/17,56.470001,144.570007,200.729996,162.179993
246,1/6/17,57.09,144.350006,201.729996,162.41000400000001
247,1/9/17,56.77,142.78999299999998,202.990005,161.949997
248,1/10/17,57.970001,146.33999599999999,200.949997,161.580002
249,1/11/17,58.869999,145.830002,203.479996,161.889999
250,1/12/17,58.52,148.190002,205.25,162.360001
251,1/13/17,58.470001,148.529999,202.919998,161.800003
252,1/17/17,58.639998999999996,146.75,204.03999299999998,160.66000400000001
253,1/18/17,59.040001000000004,147.220001,206.110001,157.740005
254,1/19/17,58.759997999999996,148.110001,206.0,158.699997
255,1/20/17,59.68,150.630005,200.529999,158.66000400000001
256,1/23/17,57.490002000000004,150.16000400000001,205.020004,159.070007
257,1/24/17,56.599998,150.229996,199.940002,160.429993
258,1/25/17,56.93,153.71000700000002,201.740005,161.240005
259,1/26/17,56.59,152.399994,200.130005,162.75
260,1/27/17,57.400002,153.350006,201.66000400000001,162.990005
261,1/30/17,55.959998999999996,154.179993,199.259995,162.08999599999999
262,1/31/17,56.720001,154.139999,198.5,162.100006
263,2/1/17,57.419998,160.78999299999998,198.479996,162.71000700000002
264,2/2/17,57.740002000000004,157.66000400000001,199.389999,160.759995
265,2/3/17,58.0,159.080002,198.240005,161.869995
266,2/6/17,57.73,156.809998,196.470001,160.509995
267,2/7/17,57.75,158.58999599999999,195.240005,160.529999
268,2/8/17,57.689999,158.600006,199.639999,160.309998
269,2/9/17,58.880001,161.679993,207.029999,160.440002
270,2/10/17,59.860001000000004,162.320007,205.429993,160.75
271,2/13/17,59.240002000000004,163.520004,206.699997,161.990005
272,2/14/17,59.389998999999996,163.320007,205.970001,163.130005
273,2/15/17,59.889998999999996,162.690002,205.320007,164.28999299999998
274,2/16/17,49.18,163.770004,208.740005,163.649994
275,2/17/17,48.23,160.25,204.600006,157.619995
276,2/21/17,49.470001,164.220001,205.33999599999999,160.570007
277,2/22/17,49.57,163.270004,205.699997,160.570007
278,2/23/17,49.790001000000004,163.919998,205.009995,162.600006
279,2/24/17,48.830002,163.830002,207.279999,163.059998
280,2/27/17,48.799999,164.91000400000001,208.75,165.380005
281,2/28/17,48.509997999999996,164.820007,211.25,165.380005
282,3/1/17,49.400002,166.970001,213.99000499999997,167.940002
283,3/2/17,49.990002000000004,165.970001,212.57000699999998,167.309998
284,3/3/17,49.990002000000004,166.0,213.97000099999997,168.199997
285,3/6/17,49.299999,165.83999599999999,212.74000499999997,168.699997
286,3/7/17,48.52,166.009995,217.94999700000002,168.300003
287,3/8/17,48.48,165.649994,217.44999700000002,167.91000400000001
288,3/9/17,46.900002,166.179993,217.789993,168.009995
289,3/10/17,45.73,166.41000400000001,217.92999300000002,169.979996
290,3/13/17,45.279999,167.240005,219.17999300000002,170.21000700000002
291,3/14/17,44.23,165.179993,218.0,169.059998
292,3/15/17,45.040001000000004,169.199997,219.080002,171.779999
293,3/16/17,45.16,168.419998,219.25,171.300003
294,3/17/17,45.860001000000004,168.270004,218.899994,169.699997
295,3/20/17,44.540001000000004,167.58999599999999,215.399994,168.0
296,3/21/17,44.009997999999996,166.990005,213.55000299999998,167.699997
297,3/22/17,43.790001000000004,166.440002,213.330002,167.029999
298,3/23/17,42.700001,165.380005,209.91000400000001,165.28999299999998
299,3/24/17,44.68,162.75,207.270004,165.0
300,3/27/17,45.91,162.190002,203.479996,164.600006
301,3/28/17,45.740002000000004,164.600006,206.630005,165.350006
302,3/29/17,45.16,164.979996,206.029999,163.440002
303,3/30/17,45.799999,167.080002,206.869995,164.990005
304,3/31/17,45.599998,165.380005,206.139999,164.009995
305,4/3/17,47.32,166.490005,209.770004,165.58999599999999
306,4/4/17,46.060001,165.699997,211.05000299999998,164.970001
307,4/5/17,46.099998,164.75,210.07000699999998,165.369995
308,4/6/17,46.82,165.919998,212.600006,165.33999599999999
309,4/7/17,46.470001,166.259995,210.75,166.020004
310,4/10/17,47.07,167.440002,212.580002,165.479996
311,4/11/17,47.849998,167.429993,212.899994,165.830002
312,4/12/17,47.259997999999996,166.429993,212.99000499999997,165.559998
313,4/13/17,47.669998,164.990005,211.80000299999998,164.96000700000002
314,4/17/17,47.830002,166.940002,212.770004,167.179993
315,4/18/17,47.639998999999996,166.369995,211.69999700000002,168.58999599999999
316,4/19/17,48.049999,166.78999299999998,213.11000099999998,169.25
317,4/20/17,47.860001000000004,168.070007,214.24000499999997,171.53999299999998
318,4/21/17,47.810001,167.800003,213.669998,171.16000400000001
319,4/24/17,48.459998999999996,168.41000400000001,213.75999500000003,172.330002
320,4/25/17,49.18,172.46000700000002,217.97000099999997,174.03999299999998
321,4/26/17,48.57,179.029999,219.350006,174.380005
322,4/27/17,48.630001,178.300003,218.669998,174.630005
323,4/28/17,49.790001000000004,177.889999,221.979996,174.880005
324,5/1/17,50.799999,179.199997,223.36999500000002,174.58999599999999
325,5/2/17,59.75,181.270004,225.600006,174.139999
326,5/3/17,64.150002,179.940002,224.020004,172.53999299999998
327,5/4/17,64.93,179.889999,228.850006,174.020004
328,5/5/17,66.43,180.300003,229.75999500000003,174.119995
329,5/8/17,67.440002,179.830002,229.25,174.440002
330,5/9/17,67.110001,177.729996,230.58999599999999,173.240005
331,5/10/17,68.160004,180.130005,230.80000299999998,173.389999
332,5/11/17,66.540001,182.720001,230.729996,173.320007
333,5/12/17,67.129997,181.440002,231.99000499999997,171.809998
334,5/15/17,67.559998,182.300003,231.11000099999998,171.529999
335,5/16/17,67.870003,180.809998,226.19999700000002,168.119995
336,5/17/17,66.519997,176.119995,224.919998,168.860001
337,5/18/17,67.0,176.690002,228.809998,171.449997
338,5/19/17,67.379997,176.41000400000001,227.88999900000002,172.58999599999999
339,5/22/17,66.839996,176.5,230.30000299999998,174.699997
340,5/23/17,66.599998,177.71000700000002,229.27999900000003,175.220001
341,5/24/17,66.589996,180.080002,231.61000099999998,175.58999599999999
342,5/25/17,67.08000200000001,181.5,232.229996,178.050003
343,5/26/17,66.870003,183.080002,232.25,177.5
344,5/30/17,66.300003,183.320007,230.36999500000002,176.58999599999999
345,5/31/17,64.57,182.350006,232.25999500000003,175.179993
346,6/1/17,66.68,187.690002,235.0,179.580002
347,6/2/17,66.220001,187.580002,234.210007,179.389999
348,6/5/17,66.629997,186.690002,232.75999500000003,179.369995
349,6/6/17,68.019997,187.649994,233.5,180.820007
350,6/7/17,67.58000200000001,188.330002,233.75,183.21000700000002
351,6/8/17,68.33000200000001,187.58999599999999,230.25999500000003,181.690002
352,6/9/17,68.220001,186.919998,229.690002,181.46000700000002
353,6/12/17,67.339996,186.740005,228.100006,179.25
354,6/13/17,68.059998,187.16000400000001,231.94999700000002,181.050003
355,6/14/17,69.220001,188.770004,231.710007,182.360001
356,6/15/17,68.400002,188.75,232.41000400000001,180.380005
357,6/16/17,68.790001,189.96000700000002,234.460007,181.630005
358,6/19/17,69.639999,192.740005,235.49000499999997,183.020004
359,6/20/17,69.68,192.0,232.97000099999997,183.270004
360,6/21/17,69.730003,192.070007,236.210007,184.919998
361,6/22/17,71.309998,193.360001,237.0,186.5
362,6/23/17,71.33000200000001,190.169998,238.419998,185.25
363,6/26/17,71.099998,188.149994,234.75,185.119995
364,6/27/17,70.290001,187.41000400000001,237.07000699999998,184.600006
365,6/28/17,70.440002,187.919998,239.75999500000003,185.699997
366,6/29/17,69.58000200000001,187.169998,239.33999599999999,185.270004
367,6/30/17,69.18,188.130005,240.61999500000002,185.419998
368,7/3/17,68.690002,189.600006,238.94999700000002,186.649994
369,7/5/17,69.25,191.25,242.32000699999998,188.25
370,7/6/17,69.139999,190.279999,238.460007,186.940002
371,7/7/17,69.940002,191.610001,238.229996,187.96000700000002
372,7/10/17,69.910004,192.119995,239.039993,186.949997
373,7/11/17,70.120003,192.100006,239.039993,185.949997
374,7/12/17,71.150002,193.53999299999998,239.22000099999997,186.690002
375,7/13/17,71.150002,192.550003,238.059998,185.479996
376,7/14/17,70.199997,192.559998,239.08999599999999,186.899994
377,7/17/17,70.260002,192.08999599999999,237.559998,186.350006
378,7/18/17,70.550003,189.449997,235.059998,186.850006
379,7/19/17,71.089996,190.28999299999998,236.229996,189.190002
380,7/20/17,72.050003,190.690002,235.830002,191.5
381,7/21/17,71.150002,190.649994,235.919998,191.779999
382,7/24/17,70.599998,191.0,235.5,190.889999
383,7/25/17,69.68,190.580002,234.91000400000001,190.399994
384,7/26/17,69.709999,184.990005,233.5,190.75
385,7/27/17,68.709999,183.520004,232.600006,188.929993
386,7/28/17,70.0,187.78999299999998,233.080002,191.149994
387,7/31/17,66.800003,186.21000700000002,231.19999700000002,191.809998
388,8/1/17,66.900002,186.669998,230.770004,192.229996
389,8/2/17,66.239998,188.949997,241.08999599999999,193.0
390,8/3/17,62.32,191.440002,248.83999599999999,194.770004
391,8/4/17,59.799999,190.479996,245.92999300000002,194.880005
392,8/7/17,58.59,190.610001,249.61999500000002,194.779999
393,8/8/17,58.599998,191.979996,250.22000099999997,194.899994
394,8/9/17,58.27,192.850006,254.960007,194.830002
395,8/10/17,57.529999,189.720001,251.669998,192.570007
396,8/11/17,58.049999,189.429993,249.99000499999997,193.020004
397,8/14/17,57.560001,191.309998,250.25,193.71000700000002
398,8/15/17,57.029999,192.990005,246.830002,194.5
399,8/16/17,56.779999,193.350006,247.36000099999998,193.770004
400,8/17/17,59.509997999999996,191.96000700000002,247.66000400000001,192.699997
401,8/18/17,59.630001,191.020004,247.27999900000003,190.820007
402,8/21/17,59.98,192.970001,249.36000099999998,192.029999
403,8/22/17,60.540001000000004,194.949997,253.27999900000003,194.78999299999998
404,8/23/17,60.509997999999996,195.229996,251.99000499999997,194.240005
405,8/24/17,61.299999,192.899994,251.850006,194.75
406,8/25/17,62.029999,192.679993,253.0,194.360001
407,8/28/17,63.18,193.479996,255.07000699999998,195.08999599999999
408,8/29/17,63.5,193.830002,255.669998,196.729996
409,8/30/17,62.91,191.5,254.24000499999997,195.880005
410,8/31/17,64.0,196.03999299999998,257.619995,198.899994
411,9/1/17,64.25,197.429993,258.75,199.75
412,9/5/17,65.41999799999999,197.179993,257.549988,199.309998
413,9/6/17,64.650002,193.649994,256.880005,198.380005
414,9/7/17,64.970001,192.639999,256.52999900000003,198.169998
415,9/8/17,65.040001,193.850006,256.559998,197.75
416,9/11/17,65.879997,195.949997,257.209991,199.580002
417,9/12/17,65.739998,189.240005,255.100006,197.470001
418,9/13/17,66.07,189.720001,251.539993,198.330002
419,9/14/17,66.139999,186.75,250.649994,197.729996
420,9/15/17,66.620003,186.58999599999999,249.27999900000003,198.179993
421,9/18/17,66.0,185.0,248.44999700000002,198.190002
422,9/19/17,62.119999,181.440002,240.039993,194.649994
423,9/20/17,62.580002,183.490005,239.67999300000002,195.75
424,9/21/17,62.509997999999996,183.5,238.63999900000002,195.21000700000002
425,9/22/17,65.32,182.860001,239.08999599999999,193.029999
426,9/25/17,64.540001,181.5,237.210007,191.75
427,9/26/17,65.589996,184.279999,239.210007,192.699997
428,9/27/17,66.540001,186.449997,238.86999500000002,194.490005
429,9/28/17,67.589996,189.779999,242.75,196.100006
430,9/29/17,68.760002,189.880005,243.63000499999998,195.850006
431,10/2/17,68.510002,191.110001,245.0,197.440002
432,10/3/17,67.400002,193.229996,247.38999900000002,198.630005
433,10/4/17,67.019997,193.419998,246.50999500000003,200.479996
434,10/5/17,67.370003,192.919998,245.36000099999998,197.899994
435,10/6/17,67.860001,193.220001,246.899994,198.059998
436,10/9/17,66.660004,190.740005,240.41000400000001,196.300003
437,10/10/17,65.160004,188.639999,240.49000499999997,194.679993
