t,Date,MOH(t),ANTM(t),HUM(t),UNH(t),MOH(t-1),ANTM(t-1),HUM(t-1),UNH(t-1),MOH(t-2),ANTM(t-2),HUM(t-2),UNH(t-2),MOH(t-3),ANTM(t-3),HUM(t-3),UNH(t-3),Y(t)
268,2/13/17,59.240002000000004,163.520004,206.699997,161.990005,59.860001000000004,162.320007,205.429993,160.75,58.880001,161.679993,207.029999,160.440002,57.689999,158.600006,199.639999,160.309998,163.130005
269,2/14/17,59.389998999999996,163.320007,205.970001,163.130005,59.240002000000004,163.520004,206.699997,161.990005,59.860001000000004,162.320007,205.429993,160.75,58.880001,161.679993,207.029999,160.440002,164.28999299999998
270,2/15/17,59.889998999999996,162.690002,205.320007,164.28999299999998,59.389998999999996,163.320007,205.970001,163.130005,59.240002000000004,163.520004,206.699997,161.990005,59.860001000000004,162.320007,205.429993,160.75,163.649994
271,2/16/17,49.18,163.770004,208.740005,163.649994,59.889998999999996,162.690002,205.320007,164.28999299999998,59.389998999999996,163.320007,205.970001,163.130005,59.240002000000004,163.520004,206.699997,161.990005,157.619995
272,2/17/17,48.23,160.25,204.600006,157.619995,49.18,163.770004,208.740005,163.649994,59.889998999999996,162.690002,205.320007,164.28999299999998,59.389998999999996,163.320007,205.970001,163.130005,160.570007
273,2/21/17,49.470001,164.220001,205.33999599999999,160.570007,48.23,160.25,204.600006,157.619995,49.18,163.770004,208.740005,163.649994,59.889998999999996,162.690002,205.320007,164.28999299999998,160.570007
274,2/22/17,49.57,163.270004,205.699997,160.570007,49.470001,164.220001,205.33999599999999,160.570007,48.23,160.25,204.600006,157.619995,49.18,163.770004,208.740005,163.649994,162.600006
275,2/23/17,49.790001000000004,163.919998,205.009995,162.600006,49.57,163.270004,205.699997,160.570007,49.470001,164.220001,205.33999599999999,160.570007,48.23,160.25,204.600006,157.619995,163.059998
276,2/24/17,48.830002,163.830002,207.279999,163.059998,49.790001000000004,163.919998,205.009995,162.600006,49.57,163.270004,205.699997,160.570007,49.470001,164.220001,205.33999599999999,160.570007,165.380005
277,2/27/17,48.799999,164.91000400000001,208.75,165.380005,48.830002,163.830002,207.279999,163.059998,49.790001000000004,163.919998,205.009995,162.600006,49.57,163.270004,205.699997,160.570007,165.380005
278,2/28/17,48.509997999999996,164.820007,211.25,165.380005,48.799999,164.91000400000001,208.75,165.380005,48.830002,163.830002,207.279999,163.059998,49.790001000000004,163.919998,205.009995,162.600006,167.940002
279,3/1/17,49.400002,166.970001,213.99000499999997,167.940002,48.509997999999996,164.820007,211.25,165.380005,48.799999,164.91000400000001,208.75,165.380005,48.830002,163.830002,207.279999,163.059998,167.309998
280,3/2/17,49.990002000000004,165.970001,212.57000699999998,167.309998,49.400002,166.970001,213.99000499999997,167.940002,48.509997999999996,164.820007,211.25,165.380005,48.799999,164.91000400000001,208.75,165.380005,168.199997
281,3/3/17,49.990002000000004,166.0,213.97000099999997,168.199997,49.990002000000004,165.970001,212.57000699999998,167.309998,49.400002,166.970001,213.99000499999997,167.940002,48.509997999999996,164.820007,211.25,165.380005,168.699997
282,3/6/17,49.299999,165.83999599999999,212.74000499999997,168.699997,49.990002000000004,166.0,213.97000099999997,168.199997,49.990002000000004,165.970001,212.57000699999998,167.309998,49.400002,166.970001,213.99000499999997,167.940002,168.300003
283,3/7/17,48.52,166.009995,217.94999700000002,168.300003,49.299999,165.83999599999999,212.74000499999997,168.699997,49.990002000000004,166.0,213.97000099999997,168.199997,49.990002000000004,165.970001,212.57000699999998,167.309998,167.91000400000001
284,3/8/17,48.48,165.649994,217.44999700000002,167.91000400000001,48.52,166.009995,217.94999700000002,168.300003,49.299999,165.83999599999999,212.74000499999997,168.699997,49.990002000000004,166.0,213.97000099999997,168.199997,168.009995
285,3/9/17,46.900002,166.179993,217.789993,168.009995,48.48,165.649994,217.44999700000002,167.91000400000001,48.52,166.009995,217.94999700000002,168.300003,49.299999,165.83999599999999,212.74000499999997,168.699997,169.979996
286,3/10/17,45.73,166.41000400000001,217.92999300000002,169.979996,46.900002,166.179993,217.789993,168.009995,48.48,165.649994,217.44999700000002,167.91000400000001,48.52,166.009995,217.94999700000002,168.300003,170.21000700000002
287,3/13/17,45.279999,167.240005,219.17999300000002,170.21000700000002,45.73,166.41000400000001,217.92999300000002,169.979996,46.900002,166.179993,217.789993,168.009995,48.48,165.649994,217.44999700000002,167.91000400000001,169.059998
288,3/14/17,44.23,165.179993,218.0,169.059998,45.279999,167.240005,219.17999300000002,170.21000700000002,45.73,166.41000400000001,217.92999300000002,169.979996,46.900002,166.179993,217.789993,168.009995,171.779999
289,3/15/17,45.040001000000004,169.199997,219.080002,171.779999,44.23,165.179993,218.0,169.059998,45.279999,167.240005,219.17999300000002,170.21000700000002,45.73,166.41000400000001,217.92999300000002,169.979996,171.300003
290,3/16/17,45.16,168.419998,219.25,171.300003,45.040001000000004,169.199997,219.080002,171.779999,44.23,165.179993,218.0,169.059998,45.279999,167.240005,219.17999300000002,170.21000700000002,169.699997
291,3/17/17,45.860001000000004,168.270004,218.899994,169.699997,45.16,168.419998,219.25,171.300003,45.040001000000004,169.199997,219.080002,171.779999,44.23,165.179993,218.0,169.059998,168.0
292,3/20/17,44.540001000000004,167.58999599999999,215.399994,168.0,45.860001000000004,168.270004,218.899994,169.699997,45.16,168.419998,219.25,171.300003,45.040001000000004,169.199997,219.080002,171.779999,167.699997
293,3/21/17,44.009997999999996,166.990005,213.55000299999998,167.699997,44.540001000000004,167.58999599999999,215.399994,168.0,45.860001000000004,168.270004,218.899994,169.699997,45.16,168.419998,219.25,171.300003,167.029999
294,3/22/17,43.790001000000004,166.440002,213.330002,167.029999,44.009997999999996,166.990005,213.55000299999998,167.699997,44.540001000000004,167.58999599999999,215.399994,168.0,45.860001000000004,168.270004,218.899994,169.699997,165.28999299999998
